domain,tagSize,tidSize,xdrSize,tagRatio,xdrRatio,tagDistribute,xdrDistribute,upPktSize,downPktSize,upFluxSize,downFluxSize,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_comm
cattry.com,1,1,1,1,1,1,1,4,3,1021,550,255.25,183.3333333,1571,1571,-1
lizhi.fm,233,336,5018,161.5744047,22.49820646,1.442060086,14.93452381,139006,343607,9904169,444838540,71.24993885,1294.614312,1353400.92,90622.30151,0
shgxkj1230.com,1,21,2045,0.047619048,0.215647922,21,97.38095238,77207,42381,5445379,2852853,70.52960224,67.31443335,395153.9048,4057.815159,1
gaomei.cn,3,4,484,2.250000001,0.033057851,1.333333333,121,12480,7681,2362728,987855,189.3211538,128.610207,837645.75,6922.692149,-1
9958r.com,1,1,3,1,0.333333333,1,3,32,32,2987,14013,93.34375,437.90625,17000,5666.666667,-1
anjucloud.com,2,6,538,0.666666667,0.066914498,3,89.66666667,4671,4663,218773,186944,46.83643759,40.09092859,67619.5,754.1208178,1
mmm.io,1,1,1,1,1,1,1,5,0,260,0,52,0,260,260,-1
ip-api.com,1,1,1,1,1,1,1,5,4,595,689,119,172.25,1284,1284,-1
mwee.cn,5,49,24917,0.510204082,0.096359915,9.8,508.5102041,93748,61350,10698973,8736363,114.1248133,142.4020049,396639.5102,780.0030501,1
fushi6.cn,1,1,1,1,1,1,1,5,4,647,1495,129.4,373.75,2142,2142,-1
yaxon.mobi,2,30,1053,0.133333333,0.854700855,15,35.1,38164,21066,6229920,1515813,163.2407504,71.9554258,258191.1,7355.871795,1
gmyun.net,12,3041,120279,0.047352844,76.88525013,253.4166667,39.55244985,529658,336942,32642949,18342787,61.63023876,54.43900434,16766.10852,423.8955761,-1
webterren.com,11,13,35,9.307692306,4.828571429,1.181818182,2.692307692,301,273,47102,110995,156.4850498,406.5750916,12161.30769,4517.057143,-1
iac-worldwide.com,1,1,18,1,0.055555556,1,18,188,164,24260,86506,129.0425532,527.4756098,110766,6153.666667,-1
mobaders.com,3,4,157,2.250000001,0.101910828,1.333333333,39.25,647,451,110202,200639,170.3276662,444.8758315,77710.25,1979.878981,-1
chinacloudapp.cn,5,24,1401,1.041666667,0.411134904,4.8,58.375,161476,155228,13905569,13588867,86.11539176,87.54133919,1145601.5,19624.8651,-1
echepin.cn,8,12,768,5.333333333,0.1875,1.5,64,13407,11839,1424139,635364,106.2235399,53.66703269,171625.25,2681.644531,-1
mucfc.com,1,1,104,1,0.009615385,1,104,1483,1194,612229,335721,412.8314228,281.1733668,947950,9114.903846,-1
campmobile.com,1,2,2,0.5,2,2,1,39,43,2323,42280,59.56410256,983.255814,22301.5,22301.5,-1
zuimeitianqi.com,11,12,89,10.08333333,1.617977528,1.090909091,7.416666667,1415,1582,104662,1571607,73.96607774,993.4304678,139689.0833,18834.48315,-1
kdslife.com,1,1,9,1,0.111111111,1,9,126,109,19242,29134,152.7142857,267.2844037,48376,5375.111111,-1
dlmu.edu.cn,1,2,205,0.5,0.019512195,2,102.5,3920,6707,301265,8860842,76.85331633,1321.133443,4581053.5,44693.20488,-1
jlpay.com,20,2119,80814,0.188768287,55.56167248,105.95,38.13780085,173909,77031,17591085,23024479,101.1510905,298.8988719,19167.3261,502.5807905,1
gepuwang.net,3,3,10,3,0.9,1,3.333333333,50,42,3377,27600,67.54,657.1428571,10325.66667,3097.7,-1
thingyu.com,2,16,917,0.25,0.27917121,8,57.3125,1823,0,119815,0,65.72408118,0,7488.4375,130.6597601,-1
supatent.cn,3,84,13740,0.107142857,0.513537118,28,163.5714286,117553,118706,7276813,6558094,61.90240147,55.24652503,164701.2738,1006.907351,-1
qiwocloud1.com,1,3,145,0.333333333,0.062068966,3,48.33333333,842,529,71664,74051,85.11163895,139.9829868,48571.66667,1004.931034,-1
journeyui.com,1,2,2,0.5,2,2,1,16,17,2040,8069,127.5,474.6470588,5054.5,5054.5,-1
5fun.cn,2,3,10,1.333333333,0.9,1.5,3.333333333,167,129,22275,54999,133.3832335,426.3488372,25758,7727.4,-1
happydw.cn,2,2,125,2,0.032,1,62.5,800,641,116546,149647,145.6825,233.4586583,133096.5,2129.544,-1
openwrt.org,1,1,7,1,0.142857143,1,7,683,944,40704,972941,59.59590044,1030.657839,1013645,144806.4286,-1
zjtrack.com,1,15,830,0.066666667,0.271084337,15,55.33333333,6048,3762,402673,222090,66.57953042,59.03508772,41650.86667,752.726506,1
hzbank.com.cn,1,4,83,0.25,0.192771084,4,20.75,9875,6264,11436940,1381457,1158.171139,220.5391124,3204599.25,154438.5181,-1
beibei.com,1,1,548,1,0.001824818,1,548,2816,1809,178550,846240,63.40553977,467.7943615,1024790,1870.054745,-1
55555.io,3,27,2628,0.333333333,0.27739726,9,97.33333333,63032,62934,3097992,2798856,49.14951136,44.47287635,218401.7778,2243.853881,0
anjugroup.cn,1,2,277,0.5,0.014440433,2,138.5,3263,3244,214658,203032,65.78547349,62.58692972,208845,1507.906137,1
eve67.cn,1,1,51,1,0.019607843,1,51,292,237,59172,90638,202.6438356,382.4388186,149810,2937.45098,-1
hm356.com,1,1,7,1,0.142857143,1,7,64,44,6112,28291,95.5,642.9772727,34403,4914.714286,-1
donga.com,1,2,20,0.5,0.2,2,10,122,184,17985,119373,147.4180328,648.7663043,68679,6867.9,-1
appvipshop.com,8,17,238,3.764705882,1.214285714,2.125,14,4410,5260,1085325,2995698,246.1054422,569.5243346,240060.1765,17147.15546,-1
mytogo.com,2,85,11534,0.047058824,0.626408878,42.5,135.6941176,73007,29387,6130241,1195280,83.9678524,40.67376731,86182.6,635.124068,1
hoymiles.com,14,1428,112385,0.137254902,18.14462784,102,78.70098039,202232,146889,19776078,8013023,97.78906405,54.55155253,19460.15476,247.2669929,-1
shrenj.com,10,101,10972,0.99009901,0.929730222,10.1,108.6336634,478086,360326,33146194,18491935,69.33102831,51.32001299,511268.604,4706.355177,1
united-imaging.com,2,3,305,1.333333333,0.029508197,1.5,101.6666667,37399,42022,28780506,4840924,769.5528223,115.1997525,11207143.33,110234.1967,1
chcedo.com,1,10,285,0.1,0.350877193,10,28.5,1675,1260,502602,350789,300.0608955,278.4039683,85339.1,2994.354386,-1
getrmb.com,1,1,1,1,1,1,1,4,3,1052,625,263,208.3333333,1677,1677,-1
msn.cn,2,2,8,2,0.5,1,4,165,162,43248,84588,262.1090909,522.1481481,63918,15979.5,-1
woyaokanshu.com,1,2,4,0.5,1,2,2,29,25,3168,5855,109.2413793,234.2,4511.5,2255.75,-1
iqiyi.com,78,230,24431,26.45217391,2.165281815,2.948717949,106.2217391,158982,126252,23210493,42281902,145.9944711,334.9008491,284749.5435,2680.708731,0
yd126.com,1,1,1,1,1,1,1,7,6,1164,760,166.2857143,126.6666667,1924,1924,-1
bitdefender.com,1,1,3,1,0.333333333,1,3,17,16,1724,5501,101.4117647,343.8125,7225,2408.333333,-1
swrve.com,2,2,13,2,0.307692308,1,6.5,98,72,11585,25449,118.2142857,353.4583333,18517,2848.769231,-1
thermoberg.com,1,1,138,1,0.007246377,1,138,54543,59831,8158167,3326735,149.5731258,55.60219619,11484902,83223.92754,1
tcyyy.cn,1,1,4,1,0.25,1,4,326,545,31738,695933,97.35582822,1276.941284,727671,181917.75,-1
hp.com,3,4,14,2.250000001,1.142857143,1.333333333,3.5,58,31,7829,7658,134.9827586,247.0322581,3871.75,1106.214286,-1
whoismail.net,1,3,27,0.333333333,0.333333333,3,9,896,836,63374,662641,70.72991071,792.6327751,242005,26889.44444,-1
tcwfggc.com,1,1,4,1,0.25,1,4,28,18,4472,2720,159.7142857,151.1111111,7192,1798,-1
mightiger.net,2,2,8,2,0.5,1,4,89,92,9749,73158,109.5393258,795.1956522,41453.5,10363.375,-1
jokinana.xyz,1,1,4,1,0.25,1,4,56,54,3412,59626,60.92857143,1104.185185,63038,15759.5,-1
leju.com,3,3,7,3,1.285714286,1,2.333333333,108,91,10227,50906,94.69444444,559.4065934,20377.66667,8733.285714,-1
pico.com,1,1,2,1,0.5,1,2,41,33,3864,15858,94.24390244,480.5454545,19722,9861,-1
gpsos.com.cn,5,10,543,2.5,0.184162063,2,54.3,7345,4389,568144,287669,77.35112321,65.54317612,85581.3,1576.082873,1
hqiot.com.cn,1,5,554,0.2,0.045126354,5,110.8,29606,28678,2141911,1513568,72.34719314,52.77801799,731095.8,6598.337545,1
x9water.com,6,652,45153,0.055214724,9.414745422,108.6666667,69.25306748,377738,343360,64074436,63876450,169.6266619,186.0334634,196243.6902,2833.71838,1
hsselite.com,1,1,2,1,0.5,1,2,6,0,312,0,52,0,312,156,-1
sharemao.com,3,22,96,0.409090909,5.041666666,7.333333333,4.363636364,555,434,42973,35462,77.42882883,81.70967742,3565.227273,817.03125,1
hortor.net,6,6,86,6,0.418604651,1,14.33333333,8848,9055,431042,3306946,48.71632007,365.2066262,622998,43464.97674,-1
13ne.com,1,1,10,1,0.1,1,10,65,49,4742,37242,72.95384615,760.0408163,41984,4198.4,-1
red-ambers.com,2,2,5,2,0.8,1,2.5,33,36,2599,19114,78.75757576,530.9444444,10856.5,4342.6,-1
bst-transportation.com,1,8,9,0.125,7.111111111,8,1.125,26,45,1463,4745,56.26923077,105.4444444,776,689.7777778,1
520163.com,1,1,4,1,0.25,1,4,16,14,1660,4496,103.75,321.1428571,6156,1539,-1
mobpalm.com,1,1,2,1,0.5,1,2,13,10,3390,2877,260.7692308,287.7,6267,3133.5,-1
29cdn.com,2,2,9,2,0.444444444,1,4.5,3882,4062,297690,5344575,76.68469861,1315.749631,2821132.5,626918.3333,-1
zoucheng.org,1,1,3,1,0.333333333,1,3,12,9,1163,8745,96.91666667,971.6666667,9908,3302.666667,-1
oznerwater.com,1,11,191,0.090909091,0.633507854,11,17.36363636,905,570,102024,56926,112.7337017,99.87017544,14450,832.1989529,-1
i-elitech.cn,12,15,2203,9.6,0.102133454,1.25,146.8666667,104281,76193,6953878,5061670,66.6840364,66.43221818,801036.5333,5454.175216,1
leadzu.com,1,1,2,1,0.5,1,2,11,8,1453,1022,132.0909091,127.75,2475,1237.5,-1
zgyckz.com,1,1,87,1,0.011494253,1,87,10597,7787,785170,459328,74.0936114,58.98651599,1244498,14304.57471,-1
contentsfeed.com,1,1,4,1,0.25,1,4,29,88,2497,56620,86.10344828,643.4090909,59117,14779.25,-1
solaxcloud.com,2,2,2,2,2,1,1,23,17,3085,899,134.1304348,52.88235294,1992,1992,1
gomtv.com,1,1,19,1,0.052631579,1,19,222,587,19209,700397,86.52702703,1193.180579,719606,37874,-1
openairdata.org,1,1,1,1,1,1,1,50,48,4257,25295,85.14,526.9791667,29552,29552,-1
alibaba-inc.com,28,30,93,26.13333334,9.677419355,1.071428571,3.1,1354,1105,315828,352224,233.2555391,318.7547511,22268.4,7183.354839,-1
abcall.cn,1,1,16,1,0.0625,1,16,3210,3028,850217,128125,264.865109,42.31340819,978342,61146.375,-1
qufenqi.com,26,30,157,22.53333333,5.732484077,1.153846154,5.233333333,37410,54611,1848398,74719718,49.4091954,1368.217355,2552270.533,487695.0064,-1
rqsjcj.com.cn,21,994,1190,0.443661972,830.2823527,47.33333333,1.197183099,9490,7546,1363012,500500,143.6261328,66.32653061,1874.760563,1565.976471,1
cdntips.com,8,8,10,8,6.4,1,1.25,622,705,35059,934993,56.36495177,1326.231206,121256.5,97005.2,-1
delivery-syndication.com,1,2,4,0.5,1,2,2,38,46,4914,23096,129.3157895,502.0869565,14005,7002.5,-1
paysec.com,1,1,1,1,1,1,1,2,1,104,60,52,60,164,164,-1
linlusp.com,3,3,184,3,0.048913043,1,61.33333333,905,811,66540,143683,73.52486188,177.1676942,70074.33333,1142.516304,-1
e-shequ.com,1,1,1,1,1,1,1,14,12,1954,7935,139.5714286,661.25,9889,9889,-1
esim.net.cn,2,38,4002,0.105263158,0.36081959,19,105.3157895,155279,81647,7405632,3514596,47.6924246,43.04623562,287374.4211,2728.692654,-1
weitepai.com,3,20,433,0.45,0.923787529,6.666666667,21.65,2411,1740,747236,215889,309.9278308,124.0741379,48156.25,2224.307159,1
kting.cn,1,1,8,1,0.125,1,8,54,39,6798,14818,125.8888889,379.9487179,21616,2702,-1
wenjuan.com,1,1,4,1,0.25,1,4,42,35,5013,20146,119.3571429,575.6,25159,6289.75,-1
vpimg4.com,16,17,111,15.05882353,2.603603603,1.0625,6.529411765,2418,3173,163361,3786931,67.56038048,1193.485975,232370.1176,35588.21622,-1
mifile.cn,34,44,760,26.27272727,2.547368421,1.294117647,17.27272727,33717,47356,1944601,60775764,57.67419996,1283.380438,1425462.841,82526.79605,-1
tpvms.org,4,13,961,1.230769231,0.175858481,3.25,73.92307692,19005,18047,2168264,725365,114.0891344,40.19310689,222586.8462,3011.060354,1
sbycjk.cn,7,108,12101,0.453703704,0.963887282,15.42857143,112.0462963,222987,202405,17300733,8728353,77.5862853,43.12320842,241010.0556,2150.986365,-1
jj1001.com,3,7,387,1.285714286,0.126614987,2.333333333,55.28571429,39327,20751,1954078,1095083,49.68794975,52.77254108,435594.4286,7878.968992,1
originate.org.cn,15,23,883,9.782608698,0.599093998,1.533333333,38.39130435,8714,8415,782222,459226,89.76612348,54.57231135,53976,1405.943375,1
huorong.cn,3,3,47,3,0.191489362,1,15.66666667,496,581,29973,551151,60.42943548,948.6247849,193708,12364.34043,-1
shsyf.com,7,1304,97821,0.037576687,17.38293414,186.2857143,75.01610429,499530,602992,127289902,43154566,254.8193342,71.56739393,130708.9479,1742.411834,1
5054399.com,1,1,2,1,0.5,1,2,10,0,400,0,40,0,400,200,-1
mobihtml5.com,1,4,9,0.25,1.777777778,4,2.25,33,13,2224,1328,67.39393939,102.1538462,888,394.6666667,-1
yadea.com.cn,4,63,2577,0.253968254,1.54016298,15.75,40.9047619,66239,49204,4298587,2767102,64.89510711,56.23733843,112153.7937,2741.827319,1
xuanmo.me,6,11,47,3.272727273,2.574468085,1.833333333,4.272727273,503,397,73359,176221,145.8429423,443.8816121,22689.09091,5310.212766,-1
nebulaedu.com,1,7,724,0.142857143,0.067679558,7,103.4285714,15485,15477,674008,628418,43.52650953,40.6033469,186060.8571,1798.930939,1
eastday.com,2,2,5,2,0.8,1,2.5,30,27,4338,10244,144.6,379.4074074,7291,2916.4,-1
teamviewer.com,7,35,3018,1.4,0.405897946,5,86.22857143,52176,42767,5151158,8108049,98.72657927,189.5865738,378834.4857,4393.375414,0
hbjk.com.cn,4,11,2068,1.454545455,0.058510638,2.75,188,15784,14630,724088,1494610,45.87480993,102.1606288,201699.8182,1072.871373,1
345ddz.com,1,1,1,1,1,1,1,21,17,1544,1758,73.52380952,103.4117647,3302,3302,-1
djduoduo.com,1,1,3,1,0.333333333,1,3,14,12,1359,2268,97.07142857,189,3627,1209,-1
jtdns.net,1,3,471,0.333333333,0.01910828,3,157,1291,697,265803,313546,205.8892332,449.8507891,193116.3333,1230.04034,1
eoutech.net,7,198,349,0.247474747,112.3323782,28.28571429,1.762626263,2113,1468,173438,106936,82.08140085,72.84468665,1416.030303,803.3638968,1
unilogger.cn,1,1,53,1,0.018867925,1,53,228,587,13189,31744,57.84649123,54.07836457,44933,847.7924528,1
bdiov.net,31,177,7552,5.429378531,4.1484375,5.709677419,42.66666667,162938,95852,12481492,5788790,76.60270778,60.39300171,103221.9322,2419.264036,-1
payletter.com,1,1,1,1,1,1,1,22,18,6014,11483,273.3636364,637.9444444,17497,17497,-1
sanjiangge.com,1,1,3,1,0.333333333,1,3,9,9,756,756,84,84,1512,504,-1
ys1997.cn,1,5,685,0.2,0.03649635,5,137,13351,7316,775496,411138,58.08523706,56.19710224,237326.8,1732.312409,-1
duokanbox.com,6,11,409,3.272727273,0.295843521,1.833333333,37.18181818,1511,1071,262140,330474,173.4877565,308.5658263,53874,1448.933985,-1
leadu.com.cn,19,133,24019,2.714285714,0.736458637,7,180.593985,190797,116696,12271755,7149090,64.31838551,61.26251114,146021.391,808.5617636,1
haiyaxiyi.cn,2,116,1019,0.034482759,13.20510304,58,8.784482759,5483,4817,575036,1088356,104.8761627,225.9406269,14339.58621,1632.37684,1
qhupdate.com,1,1,2,1,0.5,1,2,14,13,1961,4918,140.0714286,378.3076923,6879,3439.5,-1
poshloong.com,1,2,83,0.5,0.048192771,2,41.5,2098,1317,169376,92034,80.73212583,69.88154897,130705,3149.518072,-1
dragonpass.com.cn,2,2,82,2,0.048780488,1,41,1397,1306,710063,213126,508.2770222,163.1898928,461594.5,11258.40244,-1
1e100cdn.net,1,1,2,1,0.5,1,2,53,41,5758,10750,108.6415094,262.195122,16508,8254,-1
grasenpower.net,1,8,458,0.125,0.139737991,8,57.25,59018,170934,12643214,21717476,214.2264055,127.0518212,4295086.25,75023.34061,-1
dingtone.me,1,1,1,1,1,1,1,4,5,586,232,146.5,46.4,818,818,-1
cheyaoshi.com,8,9,369,7.111111111,0.219512195,1.125,41,2323,1971,222404,204832,95.73999139,103.9228818,47470.66667,1157.821138,1
prismcdn.com,1,2,4,0.5,1,2,2,13,12,975,2027,75,168.9166667,1501,750.5,-1
friggatech.com,13,35,1783,4.828571429,0.687044307,2.692307692,50.94285714,25027,30895,2254711,4486137,90.09114157,145.2059233,192595.6571,3780.621425,-1
svcmot.com,1,1,33,1,0.03030303,1,33,708,628,577454,71451,815.6129944,113.7754777,648905,19663.78788,-1
umetrip.com,1,1,5,1,0.2,1,5,41,24,6947,6138,169.4390244,255.75,13085,2617,-1
polarisoffice.com,1,3,11,0.333333333,0.818181818,3,3.666666667,73,71,8587,27731,117.630137,390.5774648,12106,3301.636364,-1
chap2c.com,2,2,15,2,0.266666667,1,7.5,80,60,20460,19518,255.75,325.3,19989,2665.2,-1
zhuineng.com,6,50,6383,0.72,0.391665361,8.333333333,127.66,104455,95159,7341327,4508390,70.28219808,47.37744197,236994.34,1856.449475,1
chinabestobdshop.com,2,2,30,2,0.133333333,1,15,935,931,104838,48978,112.1262032,52.60794844,76908,5127.2,1
sh-ktv.net,1,1,59,1,0.016949153,1,59,622,1216,110684,1462402,177.9485531,1202.633224,1573086,26662.47458,-1
papasg.com,1,3,27,0.333333333,0.333333333,3,9,1172,1033,80392,327635,68.59385666,317.1684414,136009,15112.11111,-1
dossen.com,1,2,10,0.5,0.4,2,5,107,91,15727,45946,146.9813084,504.9010989,30836.5,6167.3,-1
azureedge.net,3,3,3,3,3,1,1,47,46,5883,23734,125.1702128,515.9565217,9872.333333,9872.333333,-1
wuxianled.com,12,72,7907,2,0.655621601,6,109.8194444,146604,83082,6570535,4021409,44.81825189,48.40289112,147110.3333,1339.565448,1
briniclemobile.com,1,2,4,0.5,1,2,2,88,75,12673,45168,144.0113636,602.24,28920.5,14460.25,-1
efuncn.com,1,1,4,1,0.25,1,4,83,62,9241,29868,111.3373494,481.7419355,39109,9777.25,-1
my-idog.com,3,14,27,0.642857143,7.259259258,4.666666667,1.928571429,284,242,23603,18145,83.10915493,74.97933884,2982,1546.222222,1
37.com,2,3,31,1.333333333,0.290322581,1.5,10.33333333,289,246,36231,100633,125.366782,409.0772358,45621.33333,4414.967742,-1
yibanzhu.org,1,1,1,1,1,1,1,5,3,220,144,44,48,364,364,-1
shfs01.com,1,1,10,1,0.1,1,10,120,166,10585,211672,88.20833333,1275.13253,222257,22225.7,-1
one.com,1,2,3,0.5,1.333333333,2,1.5,58,56,11590,4202,199.8275862,75.03571429,7896,5264,-1
tend-table.com,1,3,63,0.333333333,0.142857143,3,21,252,179,44337,23364,175.9404762,130.5251397,22567,1074.619048,-1
lvehaisen.com,7,7,12,7,4.083333334,1,1.714285714,165,149,27305,62336,165.4848485,418.3624161,12805.85714,7470.083333,-1
sbixby.com,6,14,168,2.571428572,1.166666667,2.333333333,12,4148,5036,390565,4747219,94.15742527,942.656672,366984.5714,30582.04762,-1
efanyun.com,1,4,2978,0.25,0.005372733,4,744.5,10119,4214,1197402,1027259,118.3320486,243.7728999,556165.25,747.0319006,-1
shmec.gov.cn,1,1,110,1,0.009090909,1,110,1978,3387,174957,4449273,88.45146613,1313.632418,4624230,42038.45455,-1
dbpqlh.cn,2,2,18,2,0.222222222,1,9,145,102,17263,41279,119.0551724,404.6960784,29271,3252.333333,-1
tx705.com,1,1,2,1,0.5,1,2,15,3,2590,156,172.6666667,52,2746,1373,-1
dfcv.com.cn,4,85,12605,0.188235294,0.573185244,21.25,148.2941176,131268,100190,9711690,6003430,73.98368224,59.92045114,184883.7647,1246.737009,-1
techtotop.com,30,1267,6925,0.710339384,231.8106859,42.23333333,5.46566693,26228,20039,1406635,7220634,53.63104316,360.3290583,6809.209945,1245.815018,-1
4399.com,12,13,38,11.07692308,4.447368421,1.083333333,2.923076923,468,474,39998,476796,85.46581197,1005.898734,39753.38462,13599.84211,-1
1hai.cn,1,2,61,0.5,0.06557377,2,30.5,502,385,72900,382907,145.2191235,994.5636364,227903.5,7472.245902,-1
naveco.com.cn,4,119,4900,0.134453782,2.89,29.75,41.17647059,202608,192905,73186398,8945387,361.2216596,46.37198103,690183.0672,16761.58878,1
freetis.net,2,11,251,0.363636364,0.482071713,5.5,22.81818182,1133,1131,71406,33954,63.02383054,30.02122016,9578.181818,419.7609562,-1
lgucap.com,1,1,2,1,0.5,1,2,17,14,1048,742,61.64705882,53,1790,895,-1
weibo.com,56,80,383,39.19999999,16.71018277,1.428571429,4.7875,12163,37904,763065,50361587,62.73657815,1328.66154,639058.15,133484.7311,-1
sztosee.cn,1,1,150,1,0.006666667,1,150,12202,12247,1570177,566765,128.6819374,46.27786397,2136942,14246.28,-1
commander1.com,1,1,2,1,0.5,1,2,19,21,3750,7154,197.3684211,340.6666667,10904,5452,-1
gps98.cn,33,264,26471,4.125,2.632919043,8,100.2689394,278158,257312,23573777,13498826,84.74959196,52.46092681,140426.5265,1400.498772,1
audi-connect.cn,4,100,385,0.16,25.97402597,25,3.85,4150,4560,641324,1602379,154.5359036,351.3989035,22437.03,5827.8,1
qyer.com,20,23,157,17.39130435,3.369426751,1.15,6.826086957,2307,3102,154736,3563590,67.07238838,1148.803997,161666.3478,23683.6051,-1
miservice.com,1,3,501,0.333333333,0.017964072,3,167,7399,7398,450398,421240,60.87282065,56.93971344,290546,1739.796407,1
kakao.com,35,172,5066,7.122093024,5.839715752,4.914285714,29.45348837,22047,81,1647773,49632,74.73910283,612.7407407,9868.633721,335.0582313,-1
mct01.com,2,2,21,2,0.19047619,1,10.5,142,116,17305,25765,121.8661972,222.112069,21535,2050.952381,-1
mojichina.com,6,6,19,6,1.894736842,1,3.166666667,105,64,29209,10070,278.1809524,157.34375,6546.5,2067.315789,-1
agora.io,7,7,55,7,0.890909091,1,7.857142857,209,30,13408,17928,64.15311005,597.6,4476.571429,569.7454545,-1
realnameonline.cn,1,1,1,1,1,1,1,13,9,1587,5762,122.0769231,640.2222222,7349,7349,-1
intestcar.com,11,58,1935,2.086206896,1.738501292,5.272727273,33.36206897,57516,52638,10954158,2969631,190.4540997,56.41610624,240065.3276,7195.756589,1
apxadtracking.net,1,1,1,1,1,1,1,6,4,679,625,113.1666667,156.25,1304,1304,-1
neoway.com,9,241,1022,0.336099585,56.83072408,26.77777778,4.2406639,5935,4784,1130906,503646,190.5486099,105.2771739,6782.373444,1599.365949,0
1f3k.com,2,2,7,2,0.571428571,1,3.5,63,57,8390,52007,133.1746032,912.4035088,30198.5,8628.142857,-1
pe168.com,1,1,2,1,0.5,1,2,70,93,3785,51082,54.07142857,549.2688172,54867,27433.5,-1
joins.com,1,6,207,0.166666667,0.173913043,6,34.5,1274,1826,199345,1901569,156.4717425,1041.384995,350152.3333,10149.343,-1
wxcs.cn,1,1,14,1,0.071428571,1,14,607,695,51099,811206,84.18286656,1167.202878,862305,61593.21429,-1
krmobi.com,1,1,2,1,0.5,1,2,12,10,1367,2285,113.9166667,228.5,3652,1826,-1
izatcloud.net,69,136,1108,35.00735294,16.69314079,1.971014493,8.147058824,23761,24329,1560263,25957539,65.66487101,1066.938181,202336.7794,24835.56137,0
bldimg.com,19,28,261,12.89285714,3.003831418,1.473684211,9.321428571,8873,10172,6497107,6717927,732.2334047,660.4332481,471965.5,50632.31418,0
hockeyapp.net,3,4,8,2.250000001,2,1.333333333,2,73,49,12796,33018,175.2876712,673.8367347,11453.5,5726.75,-1
decerp.cc,1,1,1,1,1,1,1,7,6,1108,2713,158.2857143,452.1666667,3821,3821,-1
qianbao.com,1,1,8,1,0.125,1,8,93,74,17262,42723,185.6129032,577.3378378,59985,7498.125,-1
clouddn.com,2,2,38,2,0.105263158,1,19,6410,10926,405004,15040944,63.18315133,1376.61944,7722974,406472.3158,-1
yixia.com,1,1,1,1,1,1,1,15,12,1324,5107,88.26666667,425.5833333,6431,6431,-1
myasiatek.cn,6,219,6746,0.164383562,7.109546397,36.5,30.80365297,128785,71004,9487472,5066010,73.66907637,71.3482339,66454.25571,2157.349837,-1
bootcss.com,10,25,2990,4,0.2090301,2.5,119.6,21380,15394,1340660,2706860,62.70626754,175.8386384,161900.8,1353.685619,-1
naver.net,2,40,1298,0.1,1.232665639,20,32.45,36261,60651,2557554,78696427,70.53181104,1297.528928,2031349.525,62599.36903,-1
joyoung.com,3,200,780,0.045,51.28205128,66.66666667,3.9,4977,3827,373960,600830,75.13763311,156.9976483,4873.95,1249.730769,-1
bbm.com,3,3,46,3,0.195652174,1,15.33333333,349,346,44553,75375,127.6590258,217.8468208,39976,2607.130435,-1
zybang.com,1,1,2,1,0.5,1,2,40,34,4140,21302,103.5,626.5294118,25442,12721,-1
boomegg.cn,1,1,12,1,0.083333333,1,12,141,123,32607,74793,231.2553191,608.0731707,107400,8950,-1
zs666.com,1,1,2,1,0.5,1,2,2,2,80,80,40,40,160,80,-1
symantecliveupdate.com,1,1,31,1,0.032258065,1,31,32108,68545,1463705,88340883,45.58692538,1288.801269,89804588,2896922.194,-1
ticlock.com,2,2,31,2,0.129032258,1,15.5,364,277,157800,108454,433.5164835,391.5306859,133127,8588.83871,-1
glnet.edu.cn,1,1,1,1,1,1,1,1,1,76,76,76,76,152,152,-1
onelink.me,3,3,49,3,0.183673469,1,16.33333333,189,135,31537,27107,166.8624339,200.7925926,19548,1196.816327,-1
gpptrading.com,1,1,18,1,0.055555556,1,18,61,48,2955,2796,48.44262295,58.25,5751,319.5,-1
huoyunren.com,3,4,148,2.250000001,0.108108108,1.333333333,37,35241,18004,3267673,1295552,92.72361738,71.9591202,1140806.25,30832.60135,1
njchengshan.cn,1,37,4642,0.027027027,0.294915984,37,125.4594595,189987,105783,9076835,5159966,47.77608468,48.77878298,384778.4054,3066.954115,1
yystatic.com,13,14,66,12.07142857,2.96969697,1.076923077,4.714285714,1307,1701,72553,2063626,55.51109411,1213.184009,152584.2143,32366.34848,-1
schlund.de,1,2,2,0.5,2,2,1,4,2,384,232,96,116,308,308,-1
shzkw.org,1,1,67,1,0.014925373,1,67,3519,5688,248159,7699148,70.51974993,1353.577356,7947307,118616.5224,-1
160.com,10,10,43,10,2.325581395,1,4.3,958,962,82901,1130587,86.53549061,1175.246362,121348.8,28220.65116,-1
meeyou.me,3,507,30050,0.017751479,8.554043262,169,59.27021696,411964,407983,41643489,21690162,101.0852623,53.16437695,124918.4438,2107.609018,1
googleapis.com,155,571,141140,42.07530648,2.310053847,3.683870968,247.1803853,449709,55050,30956011,34977329,68.83564928,635.3738238,115469.9475,467.148505,0
tantanapp.com,9,9,670,9,0.120895522,1,74.44444444,10359,10732,1885390,7259378,182.0050198,676.423593,1016085.333,13648.90746,-1
footprint.net,1,1,7,1,0.142857143,1,7,90,69,11220,26530,124.6666667,384.4927536,37750,5392.857143,-1
zhugeapi.com,1,1,39,1,0.025641026,1,39,210,214,31254,76018,148.8285714,355.2242991,107272,2750.564103,-1
gameloft.com,1,3,322,0.333333333,0.027950311,3,107.3333333,5755,4927,857890,4571326,149.068636,927.8112442,1809738.667,16860.91925,-1
