domain1,tags,tids,xs,tagRatio,xdrRatio,tagDistribute,xdrDistribute,ups,dps,ubs,dbs,upAvgFluxSize,downAvgFluxSize,tidFlux,xdrFlux,is_main,domain0
cloud.duba.net,5,6,20,4.166666667,1.8,1.2,3.333333333,84,71,9473,8063,112.7738095,113.5633803,2922.666667,876.8,-1,duba.net
wt.etobaogroup.com,1,5,292,0.2,0.085616438,5,58.4,5000,3496,358639,317015,71.7278,90.67934783,135130.8,2313.883562,-1,etobaogroup.com
f.mimo51.com,1,1,3,1,0.333333333,1,3,15,12,2964,1712,197.6,142.6666667,4676,1558.666667,-1,mimo51.com
chat-dc.jd.com,3,3,22,3,0.409090909,1,7.333333333,225,166,76298,41007,339.1022222,247.0301205,39101.66667,5332.045455,1,jd.com
api2.adpublic.cn,1,1,4,1,0.25,1,4,20,8,2264,1972,113.2,246.5,4236,1059,1,adpublic.cn
cn.spdydns.com,1,1,1,1,1,1,1,1283,4940,91572,6840488,71.37334373,1384.71417,6932060,6932060,-1,spdydns.com
m.ab126.com,1,1,1,1,1,1,1,4,3,697,457,174.25,152.3333333,1154,1154,-1,ab126.com
xianliao.updrips.com,1,1,2,1,0.5,1,2,11,5,2673,1024,243,204.8,3697,1848.5,-1,updrips.com
c89h4.cn,1,1,1,1,1,1,1,4,0,208,0,52,0,208,208,-1,c89h4.cn
xingzuanjidiapp.pgf732.cn,1,1,35,1,0.028571429,1,35,139,113,38622,112693,277.8561151,997.2831858,151315,4323.285714,-1,pgf732.cn
api-ssl.tenthbit.com,1,1,11,1,0.090909091,1,11,94,102,13293,64477,141.4148936,632.127451,77770,7070,-1,tenthbit.com
neoebiz.co.kr,1,2,8,0.5,0.5,2,4,123,137,12045,145587,97.92682927,1062.678832,78816,19704,-1,co.kr
wx2.qq.com,1,1,2,1,0.5,1,2,8,4,432,224,54,56,656,328,1,qq.com
a.jiaoyimao.com,1,1,94,1,0.010638298,1,94,410,314,184053,51982,448.9097561,165.5477707,236035,2511.010638,-1,jiaoyimao.com
fanyi-app.baidu.com,2,2,4,2,1,1,2,26,8,3498,1185,134.5384615,148.125,2341.5,1170.75,1,baidu.com
tra.nativeadscn.com,2,2,2,2,2,1,1,17,11,1925,1419,113.2352941,129,1672,1672,-1,nativeadscn.com
tos.bixbyai.cn,1,1,9,1,0.111111111,1,9,347,444,30130,464498,86.82997118,1046.166667,494628,54958.66667,-1,bixbyai.cn
get.sogou.com,177,255,8487,122.8588235,7.661717922,1.440677966,33.28235294,45711,34437,9855175,7316677,215.5974492,212.4655748,67340.59608,2023.31236,1,sogou.com
s0.pstatp.com,94,103,1466,85.78640777,7.236698499,1.095744681,14.23300971,28080,36855,1706856,42940171,60.78547009,1165.111138,433466.2816,30454.99795,1,pstatp.com
d.url.cn,86,89,1100,83.1011236,7.200909091,1.034883721,12.35955056,47558,77124,2843305,101081938,59.78605072,1310.641798,1167699.36,94477.49364,1,url.cn
pub.3gppnetwork.org,3,3,6,3,1.5,1,2,40,31,3684,2704,92.1,87.22580645,2129.333333,1064.666667,-1,3gppnetwork.org
api.tatagou.com.cn,1,1,4,1,0.25,1,4,55,81,5722,76480,104.0363636,944.1975309,82202,20550.5,-1,tatagou.com.cn
img.pplive.cn,4,4,47,4,0.340425532,1,11.75,483,543,32709,573019,67.72049689,1055.28361,151432,12887.82979,-1,pplive.cn
tbox.evcar.com,13,33,1029,5.121212121,1.058309038,2.538461538,31.18181818,17991,18165,3234932,982706,179.8083486,54.09887146,127807.2121,4098.773567,0,evcar.com
yex.youdao.com,7,7,23,7,2.130434783,1,3.285714286,165,131,28581,37114,173.2181818,283.3129771,9385,2856.304348,-1,youdao.com
ifacelog.iqiyi.com,29,34,321,24.73529412,3.601246106,1.172413793,9.441176471,2696,1812,1611302,127734,597.6639466,70.49337748,51148.11765,5417.557632,1,iqiyi.com
wu-calculator.apple.com,13,13,27,13,6.259259259,1,2.076923077,460,314,68347,159449,148.5804348,507.7993631,17522.76923,8436.888889,1,apple.com
bdbus-turbonet.baidu.com,45,47,257,43.08510638,8.595330739,1.044444444,5.468085106,2146,1713,196352,538829,91.49673812,314.5528313,15642.14894,2860.626459,1,baidu.com
1738n4q341.iask.in,3,42,326,0.214285714,5.411042945,14,7.761904762,1805,1566,301465,64104,167.0166205,40.9348659,8704.02381,1121.377301,1,iask.in
safe.aerozeni.com,1,1,4,1,0.25,1,4,8,4,464,240,58,60,704,176,0,aerozeni.com
nfa.jd.com,12,12,129,12,1.11627907,1,10.75,974,811,313683,238502,322.0564682,294.0838471,46015.41667,4280.503876,1,jd.com
se.360.cn,17,17,49,17,5.897959184,1,2.882352941,406,358,29893,331324,73.62807882,925.4860335,21248.05882,7371.77551,1,360.cn
ckm.iqiyi.com,2,2,16,2,0.25,1,8,114,64,15674,10270,137.4912281,160.46875,12972,1621.5,1,iqiyi.com
smssdk1.bizport.cn,1,1,1,1,1,1,1,7,6,3164,288,452,48,3452,3452,1,bizport.cn
api.chushou.tv,1,1,9,1,0.111111111,1,9,125,108,17519,40946,140.152,379.1296296,58465,6496.111111,-1,chushou.tv
static.swaqds.com,1,1,1,1,1,1,1,11,10,754,2054,68.54545455,205.4,2808,2808,-1,swaqds.com
519gps.com,1,1,1,1,1,1,1,25,28,1305,1176,52.2,42,2481,2481,-1,519gps.com
seli5rmt59-2.algolianet.com,1,2,19,0.5,0.210526316,2,9.5,252,303,41621,254180,165.1626984,838.8778878,147900.5,15568.47368,-1,algolianet.com
mxplayer.j2inter.com,1,2,4,0.5,1,2,2,50,47,10832,7138,216.64,151.8723404,8985,4492.5,-1,j2inter.com
www.shiep.edu.cn,1,1,81,1,0.012345679,1,81,1722,1775,167474,2376943,97.25551684,1339.122817,2544417,31412.55556,-1,shiep.edu.cn
onestore.co.kr,1,13,71,0.076923077,2.38028169,13,5.461538462,292,0,17520,0,60,0,1347.692308,246.7605634,-1,co.kr
mail.ru,1,4,5,0.25,3.2,4,1.25,21,25,2033,3836,96.80952381,153.44,1467.25,1173.8,-1,mail.ru
t2.ukelink.com,1,4,4,0.25,4,4,1,24,20,1935,3076,80.625,153.8,1252.75,1252.75,-1,ukelink.com
scontent-lhr3-1.cdninstagram.com,1,1,1,1,1,1,1,2,4,100,180,50,45,280,280,-1,cdninstagram.com
cdn.120askimages.com,4,4,16,4,1,1,4,374,362,34201,304028,91.44652406,839.8563536,84557.25,21139.3125,1,120askimages.com
dqa.samsung.com,2,12,23,0.333333333,6.260869565,6,1.916666667,334,286,98049,107425,293.5598802,375.6118881,17122.83333,8933.652174,-1,samsung.com
m.giccoo.com,1,1,4,1,0.25,1,4,25,23,3076,12477,123.04,542.4782609,15553,3888.25,-1,giccoo.com
gt02hz.dkwgps.com,3,4,85,2.25,0.188235294,1.333333333,21.25,2549,2477,211635,133470,83.02667713,53.88373032,86276.25,4060.058824,0,dkwgps.com
ext.baidu.com,1,1,1,1,1,1,1,43,49,3405,45207,79.18604651,922.5918367,48612,48612,1,baidu.com
aip.baidubce.com,1,1,1,1,1,1,1,1062,880,1213136,46195,1142.312618,52.49431818,1259331,1259331,1,baidubce.com
newsapi.eastmoney.com,2,2,5,2,0.8,1,2.5,25,0,1500,0,60,0,750,300,1,eastmoney.com
alikf.hhs16.com,1,1,2,1,0.5,1,2,10,6,764,958,76.4,159.6666667,1722,861,0,hhs16.com
server22603.teamviewer.com,1,1,1,1,1,1,1,18,17,5177,7555,287.6111111,444.4117647,12732,12732,1,teamviewer.com
thumb-yz01.kuaipandata.com,1,1,4,1,0.25,1,4,35,29,3273,15349,93.51428571,529.2758621,18622,4655.5,-1,kuaipandata.com
mail.shmh.gov.cn,1,1,15,1,0.066666667,1,15,47,27,6949,13593,147.8510638,503.4444444,20542,1369.466667,-1,shmh.gov.cn
seg.oksusu.com,1,1,28,1,0.035714286,1,28,572,700,60439,782788,105.6625874,1118.268571,843227,30115.25,-1,oksusu.com
c.ooyala.com,2,2,4,2,1,1,2,87,76,10742,51661,123.4712644,679.75,31201.5,15600.75,-1,ooyala.com
browser-b.shusangyuan.top,1,1,11,1,0.090909091,1,11,47,39,7548,11256,160.5957447,288.6153846,18804,1709.454545,-1,shusangyuan.top
deep.appdao.com,1,1,1,1,1,1,1,13,12,1337,8163,102.8461538,680.25,9500,9500,-1,appdao.com
kpns.ijinshan.com,1,1,2,1,0.5,1,2,11,9,1340,752,121.8181818,83.55555556,2092,1046,-1,ijinshan.com
a.jomodns.com,16,16,51,16,5.019607843,1,3.1875,1075,1339,71060,1423601,66.10232558,1063.182226,93416.3125,29307.07843,-1,jomodns.com
down-update.qq.com,65,65,693,65,6.096681097,1,10.66153846,18853,29045,1184651,36365510,62.83620644,1252.040282,577694.7846,54184.93651,1,qq.com
video.qiyi.com,54,69,1958,42.26086957,2.431562819,1.277777778,28.37681159,9723,7233,759478,1170741,78.11148822,161.8610535,27974.18841,985.8115424,1,qiyi.com
xp.qpic.cn,88,91,965,85.0989011,8.58134715,1.034090909,10.6043956,19985,27968,1508203,34016076,75.46675006,1216.249857,390376.6923,36812.72435,1,qpic.cn
www.red-ambers.com,2,2,5,2,0.8,1,2.5,33,36,2599,19114,78.75757576,530.9444444,10856.5,4342.6,-1,red-ambers.com
gaodeet2-acs.amap.com,18,24,111,13.5,5.189189189,1.333333333,4.625,2832,2459,663694,337620,234.355226,137.2997153,41721.41667,9020.846847,1,amap.com
img3.kuwo.cn,5,7,26,3.571428571,1.884615385,1.4,3.714285714,478,491,28617,498077,59.86820084,1014.413442,75242,20257.46154,1,kuwo.cn
gps.gps688.com,20,181,8580,2.209944751,3.818298368,9.05,47.40331492,102709,65725,8116653,3807590,79.02572316,57.9321415,65879.79558,1389.771911,0,gps688.com
account.samsung.com,1,7,15,0.142857143,3.266666667,7,2.142857143,121,191,21737,145948,179.6446281,764.1256545,23955,11179,-1,samsung.com
spdytest.baidu.com,3,3,8,3,1.125,1,2.666666667,103,94,11932,29715,115.8446602,316.1170213,13882.33333,5205.875,1,baidu.com
cl0.webterren.com,5,5,15,5,1.666666667,1,3,139,124,20887,52020,150.2661871,419.516129,14581.4,4860.466667,-1,webterren.com
www.msftncsi.com,31,39,142,24.64102564,10.71126761,1.258064516,3.641025641,4244,7323,240921,9501077,56.76743638,1297.429605,249794.8205,68605.61972,-1,msftncsi.com
region.ifeng.com,4,4,10,4,1.6,1,2.5,108,89,20576,42880,190.5185185,481.7977528,15864,6345.6,-1,ifeng.com
m.china.com.cn,3,4,30,2.25,0.533333333,1.333333333,7.5,128,116,28066,27904,219.265625,240.5517241,13992.5,1865.666667,-1,china.com.cn
xdz1.yunshen918.com,1,13,984,0.076923077,0.171747967,13,75.69230769,41244,24843,2410188,1409722,58.43729997,56.74524011,293839.2308,3882.022358,-1,yunshen918.com
api.yyapi.net,1,1,2,1,0.5,1,2,78,66,12991,25638,166.5512821,388.4545455,38629,19314.5,-1,yyapi.net
gubaapi.eastmoney.com,3,3,402,3,0.02238806,1,134,3991,4945,661411,3084514,165.7256327,623.7642063,1248641.667,9318.221393,1,eastmoney.com
status-p2p.secu100.net,1,1,5,1,0.2,1,5,30,20,3557,2999,118.5666667,149.95,6556,1311.2,-1,secu100.net
pay.swiftpass.cn,6,20,121,1.8,3.305785124,3.333333333,6.05,4048,2299,322585,829653,79.68997036,360.8755981,57611.9,9522.628099,0,swiftpass.cn
elife.icbc.com.cn,1,3,57,0.333333333,0.157894737,3,19,796,718,160980,261105,202.2361809,363.6559889,140695,7405,0,icbc.com.cn
www.klook.com,1,1,2,1,0.5,1,2,61,67,17033,56167,279.2295082,838.3134328,73200,36600,-1,klook.com
ota.shesi.org,4,87,13767,0.183908046,0.549792983,21.75,158.2413793,13980,13962,894680,558480,63.99713877,40,16702.98851,105.5538607,-1,shesi.org
iot-magictek.cn,3,5,706,1.8,0.035410765,1.666666667,141.2,11787,6467,685030,363268,58.11741749,56.17256842,209659.6,1484.84136,0,iot-magictek.cn
id1.cn.com,1,1,2,1,0.5,1,2,14,9,1305,1392,93.21428571,154.6666667,2697,1348.5,-1,cn.com
my.naver.com,1,2,3,0.5,1.333333333,2,1.5,35,39,4428,26405,126.5142857,677.0512821,15416.5,10277.66667,1,naver.com
mobile-api2011.elong.com,1,1,8,1,0.125,1,8,25,11,2180,1365,87.2,124.0909091,3545,443.125,-1,elong.com
ptxl.gitv.tv,5,5,6,5,4.166666667,1,1.2,93,92,5495,7713,59.08602151,83.83695652,2641.6,2201.333333,-1,gitv.tv
ssl.socdm.com,1,2,3,0.5,1.333333333,2,1.5,30,24,3427,10021,114.2333333,417.5416667,6724,4482.666667,-1,socdm.com
adapi.dingyueads.com,9,9,753,9,0.107569721,1,83.66666667,7609,6480,1283175,3261683,168.6391116,503.346142,504984.2222,6035.667995,-1,dingyueads.com
server21904.teamviewer.com,1,2,3,0.5,1.333333333,2,1.5,65,57,13308,24993,204.7384615,438.4736842,19150.5,12767,1,teamviewer.com
s1c.time.edu.cn,1,5,14,0.2,1.785714286,5,2.8,14,0,1064,0,76,0,212.8,76,-1,time.edu.cn
mq.sparkls.cn,1,7,115,0.142857143,0.426086957,7,16.42857143,1261,1080,93475,43889,74.12767645,40.63796296,19623.42857,1194.469565,-1,sparkls.cn
p10-keyvalueservice.icloud.com,1,1,1,1,1,1,1,1,0,64,0,64,0,64,64,1,icloud.com
d2cn2s1svkug17.cloudfront.net,1,1,22,1,0.045454545,1,22,492,665,33379,853144,67.84349593,1282.923308,886523,40296.5,-1,cloudfront.net
turbo2sdk-vivo.oupengcloud.net,2,2,2,2,2,1,1,21,18,2305,1190,109.7619048,66.11111111,1747.5,1747.5,1,oupengcloud.net
analytics.agoda.com,1,1,30,1,0.033333333,1,30,802,658,481025,149931,599.7817955,227.8586626,630956,21031.86667,-1,agoda.com
eseoul.go.kr,1,1,1,1,1,1,1,6,5,796,596,132.6666667,119.2,1392,1392,-1,go.kr
cdn2.cafe24.com,1,1,10,1,0.1,1,10,48,52,3950,39984,82.29166667,768.9230769,43934,4393.4,-1,cafe24.com
ott.le.com,3,3,20,3,0.45,1,6.666666667,110,96,18159,62308,165.0818182,649.0416667,26822.33333,4023.35,-1,le.com
update.panda.tv,2,2,2,2,2,1,1,24,19,3468,9782,144.5,514.8421053,6625,6625,-1,panda.tv
api.vmall.com,3,3,14,3,0.642857143,1,4.666666667,170,159,26074,59429,153.3764706,373.7672956,28501,6107.357143,1,vmall.com
img3.mapbar.com,1,1,13,1,0.076923077,1,13,49,0,2940,0,60,0,2940,226.1538462,-1,mapbar.com
server25602.teamviewer.com,1,1,1,1,1,1,1,39,32,8721,19720,223.6153846,616.25,28441,28441,1,teamviewer.com
tyc0300.com,1,1,1,1,1,1,1,13,10,1033,8177,79.46153846,817.7,9210,9210,-1,tyc0300.com
www.hwgeneralins.com,1,1,1,1,1,1,1,3,0,180,0,60,0,180,180,-1,hwgeneralins.com
bbs.cardniu.com,1,1,1,1,1,1,1,10,9,1931,1076,193.1,119.5555556,3007,3007,-1,cardniu.com
a.ujinbi.com,1,1,1,1,1,1,1,50,58,4703,69283,94.06,1194.534483,73986,73986,-1,ujinbi.com
r8---sn-ab02a0n-jwwe.gvt1.com,1,1,3,1,0.333333333,1,3,15,0,900,0,60,0,900,300,-1,gvt1.com
m.elongstatic.com,1,1,1,1,1,1,1,3,0,1974,0,658,0,1974,1974,-1,elongstatic.com
www.ultraadserver.com,1,1,10,1,0.1,1,10,101,73,5312,4380,52.59405941,60,9692,969.2,-1,ultraadserver.com
adbsc.krmobi.com,1,1,1,1,1,1,1,6,4,683,582,113.8333333,145.5,1265,1265,-1,krmobi.com
spotvnews.co.kr,1,2,40,0.5,0.1,2,20,554,1105,50392,1471922,90.96028881,1332.056109,761157,38057.85,-1,co.kr
tcp.xmlbike.com,1,3,2263,0.333333333,0.003977022,3,754.3333333,4519,0,289216,0,64,0,96405.33333,127.8020327,0,xmlbike.com
tmsposp.shengpay.com,31,70,1911,13.72857143,2.564102564,2.258064516,27.3,3888,2075,225387,181665,57.96990741,87.54939759,5815.028571,213.0047096,0,shengpay.com
vip.qq.com,211,232,3706,191.9008621,14.52347545,1.099526066,15.97413793,92755,141335,6027310,177521826,64.98097138,1256.035844,791160.069,49527.55963,1,qq.com
time.nist.gov,32,192,1326,5.333333333,27.80090498,6,6.90625,3171,447,234828,30146,74.05487228,67.44071588,1380.072917,199.8295626,1,nist.gov
dn.gscdn.net,1,1,1,1,1,1,1,8,8,3263,1933,407.875,241.625,5196,5196,-1,gscdn.net
anangke.taobao.com,113,126,907,101.3412698,17.50385888,1.115044248,7.198412698,11241,9718,1953306,3165701,173.766213,325.7564314,40627.03968,5643.888644,1,taobao.com
cmtw.yangkeduo.com,47,47,605,47,3.651239669,1,12.87234043,2367,1454,494262,115010,208.8136882,79.09903714,12963.23404,1007.061157,1,yangkeduo.com
tva2.sinaimg.cn,3,3,11,3,0.818181818,1,3.666666667,308,304,16917,304138,54.92532468,1000.453947,107018.3333,29186.81818,1,sinaimg.cn
driverdl.lenovo.com.cn,22,23,135,21.04347826,3.918518519,1.045454545,5.869565217,6994,7717,395825,9702463,56.59493852,1257.284307,439056,74802.13333,-1,lenovo.com.cn
a6.gps18.com,2,115,8398,0.034782609,1.574779709,57.5,73.02608696,22925,13765,2215807,960071,96.65461287,69.74725754,27616.33043,378.1707549,1,gps18.com
e.wlandata.com,2,3,72,1.333333333,0.125,1.5,24,110,0,5174,0,47.03636364,0,1724.666667,71.86111111,-1,wlandata.com
snake.oppomobile.com,14,15,105,13.06666667,2.142857143,1.071428571,7,524,479,87606,36517,167.1870229,76.23590814,8274.866667,1182.12381,1,oppomobile.com
cmtw.pinduoduo.com,15,15,109,15,2.064220183,1,7.266666667,1328,963,400961,272456,301.9284639,282.9241952,44894.46667,6178.137615,-1,pinduoduo.com
hzs24.cnzz.com,39,39,306,39,4.970588235,1,7.846153846,3233,2871,534993,1197623,165.4788122,417.1448972,44426.05128,5662.143791,1,cnzz.com
zz.bdstatic.com,14,14,65,14,3.015384615,1,4.642857143,922,1104,74791,258924,81.11822126,234.5326087,23836.78571,5134.076923,1,bdstatic.com
jia.360.cn,1,1,43,1,0.023255814,1,43,579,601,76795,452791,132.6338515,753.3960067,529586,12315.95349,1,360.cn
pancake.apple.com,12,15,20,9.6,11.25,1.25,1.333333333,284,267,28572,144379,100.6056338,540.7453184,11530.06667,8647.55,1,apple.com
contact.naver.com,1,1,20,1,0.05,1,20,68,48,27448,31301,403.6470588,652.1041667,58749,2937.45,1,naver.com
storedl3.nearme.com.cn,15,15,549,15,0.409836066,1,36.6,571851,1453295,23347807,1918647914,40.8284798,1320.205405,129466381.4,3537332.825,1,nearme.com.cn
policies.live.net,4,4,14,4,1.142857143,1,3.5,253,231,30314,214188,119.8181818,927.2207792,61125.5,17464.42857,-1,live.net
apps.samsung.com,2,14,128,0.285714286,1.53125,7,9.142857143,358,232,164822,58149,460.396648,250.6422414,15926.5,1741.960938,-1,samsung.com
iphone-xml.booking.com,1,1,5,1,0.2,1,5,72,52,10408,25387,144.5555556,488.2115385,35795,7159,-1,booking.com
cname2541.yjs-cdn.com,20,20,196,20,2.040816327,1,9.8,2161,1886,216126,1320489,100.0120315,700.1532344,76830.75,7839.872449,-1,yjs-cdn.com
iosads24.adcolony.com,1,1,5,1,0.2,1,5,152,123,31234,33785,205.4868421,274.6747967,65019,13003.8,-1,adcolony.com
crayfish.elemecdn.com,6,6,21,6,1.714285714,1,3.5,515,489,35557,409773,69.04271845,837.9815951,74221.66667,21206.19048,-1,elemecdn.com
www.xqchuxing.com,2,2,14,2,0.285714286,1,7,128,159,25628,64359,200.21875,404.7735849,44993.5,6427.642857,0,xqchuxing.com
wkctj.baidu.com,6,6,142,6,0.253521127,1,23.66666667,2505,2257,948637,366353,378.6974052,162.3185645,219165,9260.492958,1,baidu.com
tcoffee.51shaoxi.com,1,1,31,1,0.032258065,1,31,192,119,25270,20006,131.6145833,168.1176471,45276,1460.516129,0,51shaoxi.com
imagescale.inke.cn,10,10,134,10,0.746268657,1,13.4,2754,3600,272271,4013194,98.86383442,1114.776111,428546.5,31981.08209,1,inke.cn
cdn.f5.com,1,1,1,1,1,1,1,44,49,3307,57500,75.15909091,1173.469388,60807,60807,-1,f5.com
wap.eastmoney.com,2,2,12,2,0.333333333,1,6,245,219,23031,272128,94.00408163,1242.593607,147579.5,24596.58333,1,eastmoney.com
driver-api.yongche.com,1,1,1,1,1,1,1,11,13,1081,592,98.27272727,45.53846154,1673,1673,-1,yongche.com
metis.wsd.com,3,3,5,3,1.8,1,1.666666667,20,10,936,480,46.8,48,472,283.2,-1,wsd.com
filedownload.lenovo.com,1,1,6,1,0.166666667,1,6,44,78,3732,83928,84.81818182,1076,87660,14610,1,lenovo.com
ntp.fudan.edu.cn,1,6,317,0.166666667,0.113564669,6,52.83333333,317,0,24092,0,76,0,4015.333333,76,-1,fudan.edu.cn
www.haixiulive.com,1,1,17,1,0.058823529,1,17,190,571,10606,664504,55.82105263,1163.754816,675110,39712.35294,-1,haixiulive.com
cheyouquan.kakamobi.com,1,1,4,1,0.25,1,4,19,15,8074,4522,424.9473684,301.4666667,12596,3149,-1,kakamobi.com
jlschair.com,5,6,71,4.166666667,0.507042254,1.2,11.83333333,1243,714,72181,40180,58.06999195,56.2745098,18726.83333,1582.549296,0,jlschair.com
ot.fancyapi.com,1,1,2,1,0.5,1,2,12,8,1829,861,152.4166667,107.625,2690,1345,-1,fancyapi.com
report.fkw.com,1,1,3,1,0.333333333,1,3,8,6,2349,817,293.625,136.1666667,3166,1055.333333,-1,fkw.com
ssp.adlefee.com,1,1,15,1,0.066666667,1,15,136,103,19507,23964,143.4338235,232.6601942,43471,2898.066667,-1,adlefee.com
www.haodf.com,2,2,3,2,1.333333333,1,1.5,35,29,5924,16171,169.2571429,557.6206897,11047.5,7365,-1,haodf.com
tcp.tlink.io,1,2,103,0.5,0.038834951,2,51.5,799,761,56702,30576,70.96620776,40.17871222,43639,847.3592233,0,tlink.io
yesky.sunrtb.com,1,1,3,1,0.333333333,1,3,15,14,1607,2321,107.1333333,165.7857143,3928,1309.333333,-1,sunrtb.com
bugreportv2.qq.com,1,1,3,1,0.333333333,1,3,13,12,2993,970,230.2307692,80.83333333,3963,1321,1,qq.com
images.outbrainimg.com,1,1,1,1,1,1,1,28,29,1662,37885,59.35714286,1306.37931,39547,39547,-1,outbrainimg.com
gps.aq369.cn,1,1,3,1,0.333333333,1,3,78,70,7092,3812,90.92307692,54.45714286,10904,3634.666667,0,aq369.cn
swacc.skcdn.com,1,1,30,1,0.033333333,1,30,10639,14298,593994,19803330,55.8317511,1385.041964,20397324,679910.8,-1,skcdn.com
cptm.axxc.cn,10,719,26294,0.139082058,19.66079714,71.9,36.57023644,3356960,1700394,600810278,113204781,178.9745121,66.57561777,993066.8414,27155.05663,0,axxc.cn
iot.fairsense.cn,4,111,1843,0.144144144,6.685295714,27.75,16.6036036,21165,19581,1977469,1284424,93.43108906,65.59542414,29386.42342,1769.882257,0,fairsense.cn
beacon.qq.com,474,562,7469,399.7793594,42.28732093,1.185654008,13.29003559,50952,40189,9157828,6416088,179.7344167,159.6478638,27711.59431,2085.140715,1,qq.com
fota4.adups.cn,28,7566,25904,0.103621464,2209.865503,270.2142857,3.423737774,136217,108006,17393382,12270792,127.688776,113.6121327,3920.720856,1145.158045,1,adups.cn
ads.oppomobile.com,71,77,983,65.46753247,6.031536114,1.084507042,12.76623377,4905,4449,1164778,923762,237.4674822,207.6336255,27123.8961,2124.659207,1,oppomobile.com
alog.umeng.com,267,567,5429,125.7301587,59.21698287,2.123595506,9.574955908,48790,46385,15879869,5313108,325.4738471,114.5436671,37377.38448,3903.661264,1,umeng.com
btcp.ttbike.com.cn,39,55,811,27.65454545,3.729963009,1.41025641,14.74545455,5398,4060,503220,199568,93.22341608,49.1546798,12777.96364,866.5696671,0,ttbike.com.cn
cloud.huawei.com,57,58,302,56.01724138,11.13907285,1.01754386,5.206896552,2365,2155,289127,924737,122.2524313,429.112297,20928.68966,4019.417219,1,huawei.com
api.accuweather.com,39,43,716,35.37209302,2.582402235,1.102564103,16.65116279,4934,4721,512679,1636145,103.9073774,346.5674645,49972.65116,3001.150838,1,accuweather.com
dldir3.qq.com,123,139,475,108.8417266,40.67578947,1.130081301,3.417266187,96516,271120,4112204,370489426,42.60644867,1366.514554,2694975.755,788635.0105,1,qq.com
fna.fbcdn.net,1,1,2,1,0.5,1,2,31,25,2887,23256,93.12903226,930.24,26143,13071.5,-1,fbcdn.net
w.kunlunca.com,62,63,428,61.01587302,9.273364486,1.016129032,6.793650794,5788,5922,1332085,1913626,230.1459917,323.1384667,51519.22222,7583.436916,-1,kunlunca.com
iot.xmgxamy.com,4,22,991,0.727272727,0.48839556,5.5,45.04545455,53932,80385,3954567,4747247,73.32505748,59.05637868,395537,8780.841574,0,xmgxamy.com
mos.cmobd.com,15,46,1213,4.891304348,1.744435284,3.066666667,26.36956522,18805,14434,1250868,841589,66.517841,58.30601358,45488.19565,1725.026381,0,cmobd.com
smoot.apple.cn,47,55,164,40.16363636,18.44512195,1.170212766,2.981818182,1449,1085,147779,405565,101.9868875,373.7926267,10060.8,3374.04878,-1,apple.cn
www.msftconnecttest.com,9,13,32,6.230769231,5.28125,1.444444444,2.461538462,148,165,8959,22467,60.53378378,136.1636364,2417.384615,982.0625,-1,msftconnecttest.com
fs.ubox.cn,1,1,155,1,0.006451613,1,155,6062,6023,385375,427073,63.57225338,70.90702308,812448,5241.6,0,ubox.cn
cca5.szime.com,9,17,286,4.764705882,1.01048951,1.888888889,16.82352941,2937,2886,165419,159473,56.32243786,55.25744976,19111.29412,1135.986014,0,szime.com
com.edgekey.net,7,7,27,7,1.814814815,1,3.857142857,3296,6098,395742,8077996,120.0673544,1324.695966,1210534,313842.1481,-1,edgekey.net
line-wg.ele.me,6,17,1343,2.117647059,0.215189873,2.833333333,79,20393,18850,2851692,6789491,139.8368067,360.1851989,567128.4118,7178.840655,1,ele.me
d.v2x.net.cn,1,7,423,0.142857143,0.115839243,7,60.42857143,10327,14885,4482345,598520,434.0413479,40.20960699,725837.8571,12011.50118,0,v2x.net.cn
configserver.hicloud.com,25,28,80,22.32142857,9.8,1.12,2.857142857,1068,973,112623,489860,105.4522472,503.4532374,21517.25,7531.0375,1,hicloud.com
chat.bilibili.com,5,5,18,5,1.388888889,1,3.6,220,156,17716,17855,80.52727273,114.4551282,7114.2,1976.166667,-1,bilibili.com
push.samsungosp.com.cn,3,3,7,3,1.285714286,1,2.333333333,72,51,6651,11915,92.375,233.627451,6188.666667,2652.285714,-1,samsungosp.com.cn
adx.adlefee.com,1,1,8,1,0.125,1,8,55,37,10920,3636,198.5454545,98.27027027,14556,1819.5,-1,adlefee.com
p.kf3msfm.com,1,1,19,1,0.052631579,1,19,186,220,30991,83410,166.6182796,379.1363636,114401,6021.105263,-1,kf3msfm.com
boscdn.baidu.com,2,2,11,2,0.363636364,1,5.5,68,51,3719,38576,54.69117647,756.3921569,21147.5,3845,1,baidu.com
api.battlenet.com.cn,1,1,1,1,1,1,1,14,10,1695,3888,121.0714286,388.8,5583,5583,1,battlenet.com.cn
w.rolltec.com.cn,1,1,2,1,0.5,1,2,6,9,859,942,143.1666667,104.6666667,1801,900.5,-1,rolltec.com.cn
hwcdnssl.cedexis-test.com,3,8,53,1.125,1.20754717,2.666666667,6.625,2753,3574,193219,4056965,70.18488921,1135.132904,531273,80192.15094,-1,cedexis-test.com
stat.yfp2p.net,1,1,1,1,1,1,1,12,8,1346,4889,112.1666667,611.125,6235,6235,-1,yfp2p.net
2018.ip138.com,1,1,2,1,0.5,1,2,14,8,1290,1386,92.14285714,173.25,2676,1338,-1,ip138.com
